,Label,clean_motivation
526,1,contributions concerning determination base sequences nucleic acids
527,0,discovery violations fundamental symmetry principles decay neutral Kmesons
528,0,discovery violations fundamental symmetry principles decay neutral Kmesons
529,3,uncompromising clearsightedness voices mans exposed condition world severe conflicts
530,2,discoveries concerning genetically determined structures cell surface regulate immunological reactions
531,5,analysis financial markets relations expenditure decisions employment production prices
532,3,writings marked broad outlook wealth ideas artistic power
533,2,discoveries concerning information processing visual system
534,0,contribution development laser spectroscopy
535,4,efforts heal wounds war providing help protection refugees world
536,4,promoting fundamental rights refugees
537,2,discoveries concerning functional specialization cerebral hemispheres
538,1,theories developed independently concerning course chemical reactions
539,1,theories developed independently concerning course chemical reactions
540,2,discoveries concerning information processing visual system
541,0,contribution development laser spectroscopy
542,0,contribution development highresolution electron spectroscopy
543,5,seminal studies industrial structures functioning markets causes effects public regulation
544,4,work disarmament nuclear weaponfree zones
545,3,novels short stories fantastic realistic combined richly composed world imagination reflecting continents life conflicts
546,2,discoveries concerning prostaglandins related biologically active substances
547,1,development crystallographic electron microscopy structural elucidation biologically important nucleic acidprotein complexes
548,2,discoveries concerning prostaglandins related biologically active substances
549,0,theory critical phenomena connection phase transitions
550,4,work disarmament nuclear weaponfree zones
551,2,discoveries concerning prostaglandins related biologically active substances
552,4,nonviolent struggle free trade unions human rights Poland
553,1,work mechanisms electron transfer reactions especially metal complexes
554,2,discovery mobile genetic elements
555,5,incorporated new analytical methods economic theory rigorous reformulation theory general equilibrium
556,3,novels perspicuity realistic narrative art diversity universality myth illuminate human condition world today
557,0,theoretical experimental studies nuclear reactions importance formation chemical elements universe
558,0,theoretical studies physical processes importance structure evolution stars
559,2,theories concerning specificity development control immune system discovery principle production monoclonal antibodies
560,2,theories concerning specificity development control immune system discovery principle production monoclonal antibodies
561,2,theories concerning specificity development control immune system discovery principle production monoclonal antibodies
562,3,poetry endowed freshness sensuality rich inventiveness provides liberating image indomitable spirit versatility man
563,4,role unifying leader figure nonviolent campaign resolve problem apartheid South Africa
564,1,development methodology chemical synthesis solid matrix
565,0,decisive contributions large project led discovery field particles W Z communicators weak interaction
566,0,decisive contributions large project led discovery field particles W Z communicators weak interaction
567,5,made fundamental contributions development systems national accounts hence greatly improved basis empirical economic analysis
568,4,spreading authoritative information creating awareness catastrophic consequences nuclear war
569,0,discovery quantized Hall effect
570,2,discoveries concerning regulation cholesterol metabolism
571,2,discoveries concerning regulation cholesterol metabolism
572,1,outstanding achievements development direct methods determination crystal structures
573,1,outstanding achievements development direct methods determination crystal structures
574,3,novel combines poets painters creativeness deepened awareness time depiction human condition
575,5,pioneering analyses saving financial markets
576,1,contributions concerning dynamics chemical elementary processes
577,1,contributions concerning dynamics chemical elementary processes
578,0,design scanning tunneling microscope
579,0,design scanning tunneling microscope
580,0,fundamental work electron optics design first electron microscope
581,1,contributions concerning dynamics chemical elementary processes
582,2,discoveries growth factors
583,2,discoveries growth factors
584,4,messenger mankind message one peace atonement dignity
585,3,wide cultural perspective poetic overtones fashions drama existence
586,5,development contractual constitutional bases theory economic political decisionmaking
587,1,development use molecules structurespecific interactions high selectivity
588,3,allembracing authorship imbued clarity thought poetic intensity
589,0,important breakthrough discovery superconductivity ceramic materials
590,1,development use molecules structurespecific interactions high selectivity
591,0,important breakthrough discovery superconductivity ceramic materials
592,2,discovery genetic principle generation antibody diversity
593,5,contributions theory economic growth
594,4,work lasting peace Central America
595,1,development use molecules structurespecific interactions high selectivity
596,4,preventing armed clashes creating conditions negotiations
597,0,neutrino beam method demonstration doublet structure leptons discovery muon neutrino
598,0,neutrino beam method demonstration doublet structure leptons discovery muon neutrino
599,0,neutrino beam method demonstration doublet structure leptons discovery muon neutrino
600,2,discoveries important principles drug treatment
601,1,determination threedimensional structure photosynthetic reaction centre
602,1,determination threedimensional structure photosynthetic reaction centre
603,1,determination threedimensional structure photosynthetic reaction centre
604,3,works rich nuance clearsightedly realistic evocatively ambiguous formed Arabian narrative art applies mankind
605,2,discoveries important principles drug treatment
606,2,discoveries important principles drug treatment
607,5,pioneering contributions theory markets efficient utilization resources
608,1,discovery catalytic properties RNA
609,1,discovery catalytic properties RNA
610,0,development ion trap technique
611,0,invention separated oscillatory fields method use hydrogen maser atomic clocks
612,2,discovery cellular origin retroviral oncogenes
613,0,development ion trap technique
614,5,clarification probability theory foundations econometrics analyses simultaneous economic structures
615,3,rich intensive prose restrained compassion forms challenging vision mans vulnerability
616,4,advocating peaceful solutions based upon tolerance mutual respect order preserve historical cultural heritage people
617,2,discovery cellular origin retroviral oncogenes
618,3,impassioned writing wide horizons characterized sensuous intelligence humanistic integrity
619,0,pioneering investigations concerning deep inelastic scattering electrons protons bound neutrons essential importance development quark model particle physics
620,0,pioneering investigations concerning deep inelastic scattering electrons protons bound neutrons essential importance development quark model particle physics
621,0,pioneering investigations concerning deep inelastic scattering electrons protons bound neutrons essential importance development quark model particle physics
622,5,pioneering work theory financial economics
623,5,pioneering work theory financial economics
624,2,discoveries concerning organ cell transplantation treatment human disease
625,4,leading role played radical changes EastWest relations
626,2,discoveries concerning organ cell transplantation treatment human disease
627,5,pioneering work theory financial economics
628,1,development theory methodology organic synthesis
629,5,discovery clarification significance transaction costs property rights institutional structure functioning economy
630,3,magnificent epic writing words Alfred Nobel great benefit humanity
631,2,discoveries concerning function single ion channels cells
632,0,discovering methods developed studying order phenomena simple systems generalized complex forms matter particular liquid crystals polymers
633,4,nonviolent struggle democracy human rights
634,2,discoveries concerning function single ion channels cells
635,1,contributions development methodology high resolution nuclear magnetic resonance NMR spectroscopy
636,3,poetic oeuvre great luminosity sustained historical vision outcome multicultural commitment
637,2,discoveries concerning reversible protein phosphorylation biological regulatory mechanism
638,1,contributions theory electron transfer reactions chemical systems
639,5,extended domain microeconomic analysis wide range human behaviour interaction including nonmarket behaviour
640,4,struggle social justice ethnocultural reconciliation based respect rights indigenous peoples
641,0,invention development particle detectors particular multiwire proportional chamber
642,2,discoveries concerning reversible protein phosphorylation biological regulatory mechanism
643,0,discovery new type pulsar discovery opened new possibilities study gravitation
644,0,discovery new type pulsar discovery opened new possibilities study gravitation
645,3,novels characterized visionary force poetic import gives life essential aspect American reality
646,5,renewed research economic history applying economic theory quantitative methods order explain economic institutional change
647,1,fundamental contributions establishment oligonucleotidebased sitedirected mutagenesis development protein studies
648,2,discoveries split genes
649,2,discoveries split genes
650,1,invention polymerase chain reaction PCR method
651,4,work peaceful termination apartheid regime laying foundations new democratic South Africa
652,5,renewed research economic history applying economic theory quantitative methods order explain economic institutional change
653,4,work peaceful termination apartheid regime laying foundations new democratic South Africa
654,2,discovery Gproteins role proteins signal transduction cells
655,2,discovery Gproteins role proteins signal transduction cells
656,1,contribution carbocation chemistry
657,0,development neutron spectroscopy
658,0,development neutron diffraction technique
659,3,poetic force creates imagined world life myth condense form disconcerting picture human predicament today
660,4,efforts create peace Middle East
661,4,efforts create peace Middle East
662,4,efforts create peace Middle East
663,5,pioneering analysis equilibria theory noncooperative games
664,5,pioneering analysis equilibria theory noncooperative games
665,5,pioneering analysis equilibria theory noncooperative games
666,0,detection neutrino
667,2,discoveries concerning genetic control early embryonic development
668,1,work atmospheric chemistry particularly concerning formation decomposition ozone
669,1,work atmospheric chemistry particularly concerning formation decomposition ozone
670,5,developed applied hypothesis rational expectations thereby transformed macroeconomic analysis deepened understanding economic policy
671,3,works lyrical beauty ethical depth exalt everyday miracles living past
672,1,work atmospheric chemistry particularly concerning formation decomposition ozone
673,2,discoveries concerning genetic control early embryonic development
674,4,efforts diminish part played nuclear arms international politics longer run eliminate arms
675,4,efforts diminish part played nuclear arms international politics longer run eliminate arms
676,0,discovery tau lepton
677,2,discoveries concerning genetic control early embryonic development
678,0,discovery superfluidity helium3
679,0,discovery superfluidity helium3
680,0,discovery superfluidity helium3
681,2,discoveries concerning specificity cell mediated immune defence
682,2,discoveries concerning specificity cell mediated immune defence
683,1,discovery fullerenes
684,3,poetry ironic precision allows historical biological context come light fragments human reality
685,4,work towards peaceful solution conflict East Timor
686,4,work towards peaceful solution conflict East Timor
687,1,discovery fullerenes
688,5,fundamental contributions economic theory incentives asymmetric information
689,1,discovery fullerenes
690,5,fundamental contributions economic theory incentives asymmetric information
691,3,emulates jesters Middle Ages scourging authority upholding dignity downtrodden
692,1,elucidation enzymatic mechanism underlying synthesis adenosine triphosphate ATP
693,1,first discovery iontransporting enzyme Na K ATPase
694,5,new method determine value derivatives
695,2,discovery Prions new biological principle infection
696,0,development methods cool trap atoms laser light
697,5,new method determine value derivatives
698,0,development methods cool trap atoms laser light
699,0,development methods cool trap atoms laser light
700,4,work banning clearing antipersonnel mines
701,4,work banning clearing antipersonnel mines
702,1,elucidation enzymatic mechanism underlying synthesis adenosine triphosphate ATP
703,5,contributions welfare economics
704,0,discovery new form quantum fluid fractionally charged excitations
705,3,parables sustained imagination compassion irony continually enables us apprehend elusory reality
706,0,discovery new form quantum fluid fractionally charged excitations
707,1,development densityfunctional theory
708,2,discoveries concerning nitric oxide signalling molecule cardiovascular system
709,2,discoveries concerning nitric oxide signalling molecule cardiovascular system
710,2,discoveries concerning nitric oxide signalling molecule cardiovascular system
711,1,development computational methods quantum chemistry
712,4,efforts find peaceful solution conflict Northern Ireland
713,4,efforts find peaceful solution conflict Northern Ireland
714,0,discovery new form quantum fluid fractionally charged excitations
715,3,whose frolicsome black fables portray forgotten face history
716,1,studies transition states chemical reactions using femtosecond spectroscopy
717,4,recognition organisations pioneering humanitarian work several continents
718,0,elucidating quantum structure electroweak interactions physics
719,0,elucidating quantum structure electroweak interactions physics
720,5,analysis monetary fiscal policy different exchange rate regimes analysis optimum currency areas
721,2,discovery proteins intrinsic signals govern transport localization cell
722,1,discovery development conductive polymers
723,3,œuvre universal validity bitter insights linguistic ingenuity opened new paths Chinese novel drama
724,5,development theory methods analyzing discrete choice
725,5,development theory methods analyzing selective samples
726,1,discovery development conductive polymers
727,1,discovery development conductive polymers
728,2,discoveries concerning signal transduction nervous system
729,0,developing semiconductor heterostructures used highspeed optoelectronics
730,0,developing semiconductor heterostructures used highspeed optoelectronics
731,4,work democracy human rights South Korea East Asia general peace reconciliation North Korea particular
732,2,discoveries concerning signal transduction nervous system
733,2,discoveries concerning signal transduction nervous system
734,0,part invention integrated circuit
735,5,analyses markets asymmetric information
736,4,work better organized peaceful world
737,4,work better organized peaceful world
738,3,united perceptive narrative incorruptible scrutiny works compel us see presence suppressed histories
739,5,analyses markets asymmetric information
740,5,analyses markets asymmetric information
741,1,work chirally catalysed oxidation reactions
742,1,development click chemistry bioorthogonal chemistry
743,1,work chirally catalysed hydrogenation reactions
744,1,work chirally catalysed hydrogenation reactions
745,0,achievement BoseEinstein condensation dilute gases alkali atoms early fundamental studies properties condensates
746,0,achievement BoseEinstein condensation dilute gases alkali atoms early fundamental studies properties condensates
747,0,achievement BoseEinstein condensation dilute gases alkali atoms early fundamental studies properties condensates
748,2,discoveries key regulators cell cycle
749,2,discoveries key regulators cell cycle
750,2,discoveries key regulators cell cycle
751,4,decades untiring effort find peaceful solutions international conflicts advance democracy human rights promote economic social development
752,3,writing upholds fragile experience individual barbaric arbitrariness history
753,5,integrated insights psychological research economic science especially concerning human judgment decisionmaking uncertainty
754,1,development nuclear magnetic resonance spectroscopy determining threedimensional structure biological macromolecules solution
755,1,development soft desorption ionisation methods mass spectrometric analyses biological macromolecules
756,1,development soft desorption ionisation methods mass spectrometric analyses biological macromolecules
757,5,established laboratory experiments tool empirical economic analysis especially study alternative market mechanisms
758,0,pioneering contributions astrophysics particular detection cosmic neutrinos
759,0,pioneering contributions astrophysics particular detection cosmic neutrinos
760,2,discoveries concerning genetic regulation organ development programmed cell death
761,2,discoveries concerning genetic regulation organ development programmed cell death
762,2,discoveries concerning genetic regulation organ development programmed cell death
763,0,pioneering contributions astrophysics led discovery cosmic Xray sources
764,4,efforts democracy human rights focused especially struggle rights women children
765,5,methods analyzing economic time series common trends cointegration
766,5,methods analyzing economic time series timevarying volatility ARCH
767,1,structural mechanistic studies ion channels
768,1,discovery water channels
769,0,pioneering contributions theory superconductors superfluids
770,0,pioneering contributions theory superconductors superfluids
771,2,discoveries concerning magnetic resonance imaging
772,2,discoveries concerning magnetic resonance imaging
773,3,innumerable guises portrays surprising involvement outsider
774,0,pioneering contributions theory superconductors superfluids
775,5,contributions dynamic macroeconomics time consistency economic policy driving forces behind business cycles
776,1,discovery ubiquitinmediated protein degradation
777,5,contributions dynamic macroeconomics time consistency economic policy driving forces behind business cycles
778,4,contribution sustainable development democracy peace
779,3,musical flow voices countervoices novels plays extraordinary linguistic zeal reveal absurdity societys clicheacutes subjugating power
780,1,discovery ubiquitinmediated protein degradation
781,0,discovery asymptotic freedom theory strong interaction
782,0,discovery asymptotic freedom theory strong interaction
783,0,discovery asymptotic freedom theory strong interaction
784,2,discoveries odorant receptors organization olfactory system
785,2,discoveries odorant receptors organization olfactory system
786,1,discovery ubiquitinmediated protein degradation
787,3,plays uncovers precipice everyday prattle forces entry oppressions closed rooms
788,5,enhanced understanding conflict cooperation gametheory analysis
789,4,efforts prevent nuclear energy used military purposes ensure nuclear energy peaceful purposes used safest possible way
790,4,efforts prevent nuclear energy used military purposes ensure nuclear energy peaceful purposes used safest possible way
791,1,development metathesis method organic synthesis
792,1,development metathesis method organic synthesis
793,5,enhanced understanding conflict cooperation gametheory analysis
794,0,contributions development laserbased precision spectroscopy including optical frequency comb technique
795,0,contributions development laserbased precision spectroscopy including optical frequency comb technique
796,0,contribution quantum theory optical coherence
797,2,discovery bacterium iHelicobacter pylorii role gastritis peptic ulcer disease
798,2,discovery bacterium iHelicobacter pylorii role gastritis peptic ulcer disease
799,1,development metathesis method organic synthesis
800,4,efforts create economic social development
801,4,efforts create economic social development
802,3,quest melancholic soul native city discovered new symbols clash interlacing cultures
803,5,analysis intertemporal tradeoffs macroeconomic policy
804,1,studies molecular basis eukaryotic transcription
805,0,discovery blackbody form anisotropy cosmic microwave background radiation
806,2,discovery RNA interference gene silencing doublestranded RNA
807,2,discovery RNA interference gene silencing doublestranded RNA
808,0,discovery blackbody form anisotropy cosmic microwave background radiation
809,5,laid foundations mechanism design theory
810,5,laid foundations mechanism design theory
811,5,laid foundations mechanism design theory
812,4,efforts build disseminate greater knowledge manmade climate change lay foundations measures needed counteract change
813,4,efforts build disseminate greater knowledge manmade climate change lay foundations measures needed counteract change
814,1,studies chemical processes solid surfaces
815,3,epicist female experience scepticism fire visionary power subjected divided civilisation scrutiny
816,0,discovery Giant Magnetoresistance
817,2,discoveries principles introducing specific gene modifications mice use embryonic stem cells
818,2,discoveries principles introducing specific gene modifications mice use embryonic stem cells
819,2,discoveries principles introducing specific gene modifications mice use embryonic stem cells
820,0,discovery Giant Magnetoresistance
821,4,important efforts several continents three decades resolve international conflicts
822,3,author new departures poetic adventure sensual ecstasy explorer humanity beyond reigning civilization
823,1,discovery development green fluorescent protein GFP
824,1,discovery development green fluorescent protein GFP
825,1,discovery development green fluorescent protein GFP
826,0,discovery origin broken symmetry predicts existence least three families quarks nature
827,5,analysis trade patterns location economic activity
828,0,discovery mechanism spontaneous broken symmetry subatomic physics
829,2,discovery human immunodeficiency virus
830,2,discovery human immunodeficiency virus
831,2,discovery human papilloma viruses causing cervical cancer
832,0,discovery origin broken symmetry predicts existence least three families quarks nature
833,5,analysis economic governance especially boundaries firm
834,5,analysis economic governance especially commons
835,4,extraordinary efforts strengthen international diplomacy cooperation peoples
836,3,concentration poetry frankness prose depicts landscape dispossessed
837,1,studies structure function ribosome
838,1,studies structure function ribosome
839,1,studies structure function ribosome
840,0,invention imaging semiconductor circuit CCD sensor
841,0,groundbreaking achievements concerning transmission light fibers optical communication
842,2,discovery chromosomes protected telomeres enzyme telomerase
843,2,discovery chromosomes protected telomeres enzyme telomerase
844,2,discovery chromosomes protected telomeres enzyme telomerase
845,0,invention imaging semiconductor circuit CCD sensor
846,5,analysis markets search frictions
847,3,cartography structures power trenchant images individuals resistance revolt defeat
848,5,analysis markets search frictions
849,4,long nonviolent struggle fundamental human rights China
850,1,palladiumcatalyzed cross couplings organic synthesis
851,5,analysis markets search frictions
852,1,palladiumcatalyzed cross couplings organic synthesis
853,0,groundbreaking experiments regarding twodimensional material graphene
854,0,groundbreaking experiments regarding twodimensional material graphene
855,2,development vitro fertilization
856,1,palladiumcatalyzed cross couplings organic synthesis
857,5,empirical research cause effect macroeconomy
858,4,nonviolent struggle safety women womens rights full participation peacebuilding work
859,4,nonviolent struggle safety women womens rights full participation peacebuilding work
860,4,nonviolent struggle safety women womens rights full participation peacebuilding work
861,3,condensed translucent images gives us fresh access reality
862,1,discovery quasicrystals
863,5,empirical research cause effect macroeconomy
864,0,discovery accelerating expansion Universe observations distant supernovae
865,0,discovery accelerating expansion Universe observations distant supernovae
866,2,discovery dendritic cell role adaptive immunity
867,2,discoveries concerning activation innate immunity
868,2,discoveries concerning activation innate immunity
869,0,discovery accelerating expansion Universe observations distant supernovae
870,5,theory stable allocations practice market design
871,5,theory stable allocations practice market design
872,4,six decades contributed advancement peace reconciliation democracy human rights Europe
873,3,hallucinatory realism merges folk tales history contemporary
874,1,studies Gproteincoupled receptors
875,1,studies Gproteincoupled receptors
876,0,groundbreaking experimental methods enable measuring manipulation individual quantum systems
877,2,discovery mature cells reprogrammed become pluripotent
878,2,discovery mature cells reprogrammed become pluripotent
879,0,groundbreaking experimental methods enable measuring manipulation individual quantum systems
880,5,empirical analysis asset prices
881,1,development multiscale models complex chemical systems
882,5,empirical analysis asset prices
883,5,empirical analysis asset prices
884,4,extensive efforts eliminate chemical weapons
885,3,master contemporary short story
886,1,development multiscale models complex chemical systems
887,1,development multiscale models complex chemical systems
888,0,theoretical discovery mechanism contributes understanding origin mass subatomic particles recently confirmed discovery predicted fundamental particle ATLAS CMS experiments CERNs Large Hadron Collider
889,0,theoretical discovery mechanism contributes understanding origin mass subatomic particles recently confirmed discovery predicted fundamental particle ATLAS CMS experiments CERNs Large Hadron Collider
890,2,discoveries machinery regulating vesicle traffic major transport system cells
891,2,discoveries machinery regulating vesicle traffic major transport system cells
892,2,discoveries machinery regulating vesicle traffic major transport system cells
893,5,analysis market power regulation
894,4,struggle suppression children young people right children education
895,3,art memory evoked ungraspable human destinies uncovered lifeworld occupation
896,1,development superresolved fluorescence microscopy
897,1,development superresolved fluorescence microscopy
898,1,development superresolved fluorescence microscopy
899,4,struggle suppression children young people right children education
900,0,invention efficient blue lightemitting diodes enabled bright energysaving white light sources
901,0,invention efficient blue lightemitting diodes enabled bright energysaving white light sources
902,2,discoveries cells constitute positioning system brain
903,2,discoveries cells constitute positioning system brain
904,2,discoveries cells constitute positioning system brain
905,0,invention efficient blue lightemitting diodes enabled bright energysaving white light sources
906,5,analysis consumption poverty welfare
907,4,decisive contribution building pluralistic democracy Tunisia wake Jasmine Revolution 2011
908,3,polyphonic writings monument suffering courage time
909,1,mechanistic studies DNA repair
910,1,mechanistic studies DNA repair
911,1,mechanistic studies DNA repair
912,0,discovery neutrino oscillations shows neutrinos mass
913,2,discoveries concerning novel therapy Malaria
914,2,discoveries concerning novel therapy infections caused roundworm parasites
915,2,discoveries concerning novel therapy infections caused roundworm parasites
916,0,discovery neutrino oscillations shows neutrinos mass
917,5,contributions contract theory
918,1,design synthesis molecular machines
919,5,contributions contract theory
920,4,resolute efforts bring countrys 50yearlong civil war end
921,1,design synthesis molecular machines
922,3,created new poetic expressions within great American song tradition
923,0,theoretical discoveries topological phase transitions topological phases matter
924,0,theoretical discoveries topological phase transitions topological phases matter
925,0,theoretical discoveries topological phase transitions topological phases matter
926,2,discoveries mechanisms autophagy
927,1,design synthesis molecular machines
928,4,work draw attention catastrophic humanitarian consequences use nuclear weapons groundbreaking efforts achieve treatybased prohibition weapons
929,3,novels great emotional force uncovered abyss beneath illusory sense connection world
930,1,developing cryoelectron microscopy highresolution structure determination biomolecules solution
931,1,developing cryoelectron microscopy highresolution structure determination biomolecules solution
932,1,developing cryoelectron microscopy highresolution structure determination biomolecules solution
933,0,decisive contributions LIGO detector observation gravitational waves
934,5,contributions behavioural economics
935,0,decisive contributions LIGO detector observation gravitational waves
936,2,discoveries molecular mechanisms controlling circadian rhythm
937,2,discoveries molecular mechanisms controlling circadian rhythm
938,2,discoveries molecular mechanisms controlling circadian rhythm
939,0,decisive contributions LIGO detector observation gravitational waves
940,3,narrative imagination encyclopedic passion represents crossing boundaries form life
941,5,integrating technological innovations longrun macroeconomic analysis
942,5,integrating climate change longrun macroeconomic analysis
943,4,efforts end use sexual violence weapon war armed conflict
944,4,efforts end use sexual violence weapon war armed conflict
945,1,phage display peptides antibodies
946,1,phage display peptides antibodies
947,1,directed evolution enzymes
948,0,method generating highintensity ultrashort optical pulses
949,0,optical tweezers application biological systems
950,2,discovery cancer therapy inhibition negative immune regulation
951,2,discovery cancer therapy inhibition negative immune regulation
952,0,method generating highintensity ultrashort optical pulses
953,1,development lithiumion batteries
954,5,experimental approach alleviating global poverty
955,5,experimental approach alleviating global poverty
956,3,influential work linguistic ingenuity explored periphery specificity human experience
957,5,experimental approach alleviating global poverty
958,1,development lithiumion batteries
959,4,efforts achieve peace international cooperation particular decisive initiative resolve border conflict neighbouring Eritrea
960,0,discovery exoplanet orbiting solartype star
961,0,discovery exoplanet orbiting solartype star
962,0,theoretical discoveries physical cosmology
963,2,discoveries cells sense adapt oxygen availability
964,2,discoveries cells sense adapt oxygen availability
965,2,discoveries cells sense adapt oxygen availability
966,1,development lithiumion batteries
967,5,improvements auction theory inventions new auction formats
968,5,improvements auction theory inventions new auction formats
969,4,efforts combat hunger contribution bettering conditions peace conflictaffected areas acting driving force efforts prevent use hunger weapon war conflict
970,3,unmistakable poetic voice austere beauty makes individual existence universal
971,1,development method genome editing
972,1,development method genome editing
973,0,discovery supermassive compact object centre galaxy
974,0,discovery black hole formation robust prediction general theory relativity
975,2,discovery Hepatitis C virus
976,2,discovery Hepatitis C virus
977,2,discovery Hepatitis C virus
978,0,discovery supermassive compact object centre galaxy
979,3,uncompromising compassionate penetration effects colonialism fate refugee gulf cultures continents
980,5,methodological contributions analysis causal relationships
981,5,empirical contributions labour economics
982,4,efforts safeguard freedom expression precondition democracy lasting peace
983,5,methodological contributions analysis causal relationships
984,4,efforts safeguard freedom expression precondition democracy lasting peace
985,1,development asymmetric organocatalysis
986,0,physical modelling Earth’s climate quantifying variability reliably predicting global warming
987,0,discovery interplay disorder fluctuations physical systems atomic planetary scales
988,0,physical modelling Earth’s climate quantifying variability reliably predicting global warming
989,2,discoveries receptors temperature touch
990,2,discoveries receptors temperature touch
991,1,development asymmetric organocatalysis
992,5,research banks financial crises
993,4,Peace Prize laureates represent civil society home countries many years promoted right criticise power protect fundamental rights citizens made outstanding effort document war crimes human right abuses abuse power Together demonstrate significance civil society peace democracy
994,4,Peace Prize laureates represent civil society home countries many years promoted right criticise power protect fundamental rights citizens made outstanding effort document war crimes human right abuses abuse power Together demonstrate significance civil society peace democracy
995,4,Peace Prize laureates represent civil society home countries many years promoted right criticise power protect fundamental rights citizens made outstanding effort document war crimes human right abuses abuse power Together demonstrate significance civil society peace democracy
996,3,courage clinical acuity uncovers roots estrangements collective restraints personal memory
997,1,development click chemistry bioorthogonal chemistry
998,0,experiments entangled photons establishing violation Bell inequalities pioneering quantum information science
999,0,experiments entangled photons establishing violation Bell inequalities pioneering quantum information science
1000,0,experiments entangled photons establishing violation Bell inequalities pioneering quantum information science
1001,2,discoveries concerning genomes extinct hominins human evolution
1002,1,work chirally catalysed oxidation reactions
1003,1,development click chemistry bioorthogonal chemistry
1004,5,research banks financial crises
1005,1,development click chemistry bioorthogonal chemistry
1006,5,research banks financial crises
